Chemical name	Distance (lower = more similar)
m-(Chlorocarbonyl)benzenesulphonic acid	9
Methanethiosulfonate	9
Dichloromethanesulphonyl chloride	9
Thiosulfuric acid (H2S2O3), silver(1+) salt	9
Sulfone, dichloromethyl trichloromethylthio	9
Trithionic acid	9
Tetrathioate	9
Dithionic acid	9
Methiodal	9
Fluorosulfuric acid, methyl ester	9
Fuming sulfuric acid	9
Methanesulfonyl chloride, trichloro-	9
Methanesulfonic acid, trifluoro-, ethyl ester	9
Methanesulfonate	9
Sulfurous acid	9
2-Butanesulfonic acid	9
Sulfuryl fluoride	9
Sulfur trioxide	9
4-Methylbenzenesulfonic acid	9
(4-Fluorophenyl)(heptadecafluorooctyl)iodanium hydrogen sulfate	10
(2R)-1-Chloro-1-oxopropan-2-yl trifluoromethanesulfonate	10
PUBCHEM_71363405	10
Hydrogen disulfite	10
3-Methylpent-1-yn-1-yl trifluoromethanesulfonate	10
2,3,4-Tribromobenzene-1-sulfonic acid	10
1-(4-Bromophenyl)-2,2,2-trifluoroethyl trifluoromethanesulfonate	10
1,2,3,3,3-Pentafluoroprop-1-ene-1-sulfonyl fluoride	10
Methyl 1,1,1,2,4,4,4-heptafluoro-3-oxobutane-2-sulfonate	10
Sodium trifluoromethanesulfinate	10
Sulfuryl bromide fluoride	10
1-Sulfanylpropane-1-sulfonic acid	10
S-(Trifluoromethyl) trifluoromethanesulfinothioate	10
(Pentafluoroethyl)(phenyl)iodanium hydrogen sulfate	10
4-Oxobutane-2-sulfonic acid	10
2,3-Dibromobenzene-1-sulfonic acid	10
2-Chloro-2-oxoethane-1-sulfonic acid	10
Hydroxy(oxo)methanesulfonic acid	10
5,5,5-Trifluoropentane-1-sulfonate	10
Tribromo(methanesulfonyl)methane	10
Cyclopentanesulfonic acid	10
2-(2-Chloro-1,1,2,2-tetrafluoroethoxy)-1,1,2,2-tetrafluoroethane-1-sulfonyl fluoride	10
1,1,2,2,3,4,4-Heptafluorobut-3-ene-1-sulfonyl fluoride	10
2,4-Dichlorobenzene-1-sulfonic acid	10
3,3,3-Trifluoroprop-1-ene-2-sulfonyl fluoride	10
Diphenyl[(trifluoromethanesulfonyl)oxy]borane	10
2,3-Bis(sulfosulfanyl)butanedioic acid	10
Cyclopropyl trifluoromethanesulfonate	10
1-Chloroethyl sulfurochloridate	10
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfonyl chloride	10
2-[(8-Chloro-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-hexadecafluorooctyl)oxy]-1,1,2,2-tetrafluoroethane-1-sulfonyl fluoride	10
1,2,2,3,3,4,4,5,5,6,7,7-Dodecafluorohept-6-ene-1-sulfonyl fluoride	10
1-Chloroethane-1-sulfonyl chloride	10
2,2,2-Trifluoroethyl sulfurofluoridate	10
DICYCLOPENTYLBORYL TRIFLUOROMETHANESULFONATE	10
9-Iodoperfluoro-3-oxanonanesulphonyl fluoride	10
1,1,2,2-Tetrafluoro-2-(1,1,2,2,3,3,4,4-octafluoro-4-iodobutoxy)ethane-1-sulfonyl fluoride	10
BENZYL TRIFLUOROMETHANESULFONATE	10
